word,hiragana,meaning,romaji,score,used,day
～もの,～もの,"～인걸, ～이니까",mono,60,true,DAY 024
～ものです,～ものです,～하는 법입니다,mono_desu,100,true,DAY 006
～ものだから,～ものだから,～하는 바람에,mono_dakara,60,true,DAY 024
～んです,～んです,～인 거예요,n_desu,100,true,DAY 006
～のです,～のです,～인 거예요,no_desu,100,true,DAY 006
～んですが,～んですが,～인데요,n_desu_ga,100,true,DAY 006
～んですけど,～んですけど,～인데요,n_desu_kedo,100,true,DAY 006
～ていただけませんか,～ていただけませんか,～해 주시겠어요?,te_itadakemasen_ka,60,true,DAY 024
～てくれませんか,～てくれませんか,～해 주시겠어요?,te_kuremasen_ka,100,true,DAY 007
～てあげる,～てあげる,～해 주다,te_ageru,60,true,DAY 024
～てくれる,～てくれる,～해 주다,te_kureru,60,true,DAY 024
～てもらう,～てもらう,남에게 ～해 받다,te_morau,60,true,DAY 024
～ていただく,～ていただく,윗사람에게 ～해 받다,te_itadaku,100,true,DAY 007
～なくてはいけない,～なくてはいけない,～하지 않으면 안 된다,nakute_wa_ikenai,100,true,DAY 008
～なくちゃいけない,～なくちゃいけない,～하지 않으면 안 된다,nakucha_ikenai,100,true,DAY 008
～なきゃいけない,～なきゃいけない,～하지 않으면 안 된다,nakya_ikenai,100,true,DAY 009
～なくてもいい,～なくてもいい,～하지 않아도 된다,nakutemo_ii,60,true,DAY 025
～てもかまわない,～てもかまわない,～해도 상관없다,temo_kamawanai,60,true,DAY 025
～てはいけない,～てはいけない,～해서는 안 된다,tewa_ikenai,60,true,DAY 026
～なくて,～なくて,～하지 않아서,nakute,100,true,DAY 009
～ないで,～ないで,～하지 않고,naide,60,true,DAY 026
～ずに,～ずに,～하지 않고,zu_ni,60,true,DAY 026
～やすい,～やすい,～하기 쉽다,yasui_2,60,true,DAY 026
～にくい,～にくい,～하기 어렵다,nikui_2,60,true,DAY 026
～すぎる,～すぎる,너무 ～하다,sugiru_2,60,true,DAY 026
～そうに,～そうに,～할 듯이,sou_ni,100,true,DAY 010
～そうな,～そうな,～할 듯한,sou_na,100,true,DAY 010
～がる,～がる,～하는 듯한 태도를 보이다,garu,60,true,DAY 026
～たがる,～たがる,～하고 싶어 하다,tagaru,60,true,DAY 026
～ようとしている,～ようとしている,막 ～하려고 하다,youtoshiteiru,90,false,
～ように見える,～ようにみえる,～처럼 보인다,youni_mieru,90,false,
～ように聞こえる,～ようにきこえる,～처럼 들린다,youni_kikoeru,90,false,
～ことになっている,～ことになっている,～로 되어 있다,koto_ni_natteiru,90,false,
～ことにしている,～ことにしている,늘 ～하기로 하고 있다,koto_ni_shiteiru,90,false,
～みたい,～みたい,～같다,mitai,90,false,
～らしい,～らしい,～인 것 같다,rashii_n4,90,false,
～でしょう,～でしょう,～겠지요,deshou_n4,90,false,
～かもしれない,～かもしれない,～일지도 모른다,kamoshirenai_n4,90,false,
～と思う,～とおもう,～라고 생각하다,to_omou_n4,90,false,
～と言う,～という,～라고 말하다,to_iu_n4,90,false,
～ことがある,～ことがある,～한 적이 있다,koto_ga_aru_n4,90,false,
～ことがない,～ことがない,～한 적이 없다,koto_ga_nai,90,false,
～ために,～ために,～하기 위해,tame_ni_n4,90,false,
～のに,～のに,～인데도,noni_n4,90,false,
～から,～から,～이기 때문에,kara_n4,90,false,
～ので,～ので,～이기 때문에,node_n4,90,false,
～なら,～なら,～라면,nara_n4,90,false,
～と,～と,～하면,to_n4,90,false,
～ば,～ば,～하면,ba_n4,90,false,
